AV,13,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,1.125,0.585,1.71,71814.15,2872.566
AV,14,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,300,156,456,181.25,7.25
AV,15,Stone base plate,Nos,200,104,304,181.25,7.25
AV,16,Dismentling and transportation of line materials,LS,25,13,38,18125,725
AW,AW,"R&M of 3-Ph, 4 Wire LT line with ACSR Weasel conductor",,42.6,34.6,77.2,,
AW,1,Route Survey,Kms,42.6,34.6,77.2,0,0
AW,2,"PSC Pole, 200 KG, 8 M mtr. Long",No,213,173,386,3500,262.5
AW,3,Shackle Insulator & straps ( Type- II),Set,852,692,1544,65.25,2.61
AW,4,ACSR Weasel equivalent,Kms,175.512,142.552,318.064,28727.3,1149.092
AW,5,LT Pin insulator with Pin,No.,852,692,1544,17.4,0.696
AW,6,"Supply & fabrication of LT Brackett made of 75*40*6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",Kg,2556,2076,4632,95.7,3.828
AW,7,Stay set complete with GI stay wire preformed guy and stay base plate,Set,85.2,69.2,154.4,1724.05,68.962
AW,8,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,426,346,772,150.8,6.032
AW,9,Nuts & Bolts with plain and spring washer,Kg,426,346,772,127.165,5.0866
AW,10,Aluminium wire binding,Kg,21.3,17.3,38.6,210.25,8.41
AW,11,Preformed Jointing Sleeve,Nos.,0,0,0,130.5,5.22
AW,12,LT PVC Spacers,No,2556,2076,4632,65.25,2.61
AW,13,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,1.917,1.557,3.474,71814.15,2872.566
AW,14,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,511.2,415.2,926.4,181.25,7.25
AW,15,Stone base plate,Nos,340.8,276.8,617.6,181.25,7.25
AW,16,Dismentling and transportation of line materials,LS,42.6,34.6,77.2,18125,725
AX,AX,"Conversion of Two Phase LT Line to Three Phase , 4 wire Line",,42.25,59.2,101.45,,
AX,1,Route Survey,Kms,42.25,59.2,101.45,0,0
AX,2,Shackle Insulator & straps,Set,1859,2604.8,4463.8,65.25,2.61
AX,3,ACSR Waesel equivalent,Kms,87.035,121.952,208.987,28727.3,1149.092
AX,4,"Supply & fabrication of LT Brackett made of 75*40*6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",KG,10562.5,14800,25362.5,95.7,3.828
AX,5,"Stay set complete with GI stay wire preformed guy and stay base plate,along with stay rod assembly etc",Set,253.5,355.2,608.7,1724.05,68.962
AX,6,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,211.25,296,507.25,150.8,6.032
AX,7,Nuts & Bolts,Kg,676,947.2,1623.2,127.165,5.0866
AX,8,Aluminium wire binding,Kg,0.845,1.184,2.029,210.25,8.41
AX,9,Preformed Jointing Sleeve,Nos.,42.25,59.2,101.45,130.5,5.22
AX,10,LT PVC Spacers,No,2535,3552,6087,65.25,2.61
AX,11,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,0.426725,0.59792,1.024645,71814.15,2872.566
AX,12,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,507,710.4,1217.4,181.25,7.25
AY,AY,Capacitor Bank,,12,6,18,,
AY,1,"3.6 MVAr APFC Capacitor Bank at rated volatge with RVT & Structure, Switchgear, Protection Equipment, Cable and all associated accessories complete in all respect for new PSS under Special plan Scheme (BRGF) and Existing PSS",Set,24,12,36,500250,20010
BA,BA,"Balance Work of Special Plan (BRGF) Phase-I-Construction of New 11/0.433 KV,100 KVA Distribution Transformers on 8 Mtr. 200 Kg PSC Pole (Using released after augmentation of 100 KVA to 200 KVA)",Net Quantity,23,32,55,,
BA,1,3-Ph-100 KVA Distribution Transformer,No.,0,0,0,245113.45,9804.538
BA,2,8 mtrs long 200 kg PSC Pole,No.,46,64,110,3500,262.5
BA,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,6095,8480,14575,87,3.48
BA,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,23,32,55,13000.7,520.028
BA,5,Distribution box with MCCB for 3 ph 100 kVA DTs with CT operated energy meter,No.,23,32,55,23925,957
BA,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,23,32,55,5075,203
BA,7,11 kv lightning Arrester,Nos,69,96,165,507.5,20.3
BA,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,69,96,165,1305,52.2
BA,9,Nuts & Bolts,Kg,276,384,660,127.165,5.0866
BA,10,Supply for ACSR conductors,,0,0,0,0,0
BA,a,ACSR Dog Conductor,KM,0.46,0.64,1.1,82711.7,3308.468
BA,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,138,192,330,181.25,7.25
BA,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,368,512,880,435,17.4
BA,13,Insulators as per TS,,0,0,0,0,0
BA,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,138,192,330,398.75,15.95
BA,b,11 kV Pin insulator with Pin,No.,138,192,330,108.75,4.35
BA,c,LT Pin insulator with Pin,No.,69,96,165,17.4,0.696
BA,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,184,256,440,14.5,0.58
BA,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
BA,a,Stay wire 7/12 SWG,Set,46,64,110,507.5,20.3
BA,b,Stay Insulator,no.,46,64,110,21.75,0.87
BA,c,Stay Rod assembly,Set,46,64,110,725,29
BA,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,46,64,110,181.25,7.25
BA,15,Danger board (for both pole of new DSS),No.,23,32,55,116,4.64
BA,16,Anticlimbing device (for both pole of new DSS),No.,46,64,110,153.7,6.148
BA,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,1380,1920,3300,52.2,2.088
BA,18,Stone base plate,Nos,46,64,110,181.25,7.25
BB,BB,"Balance Work of Special Plan (BRGF) Phase-I- Augmentation of 11/0.433 KV, 100 KVA to 200 KVA New Distribution Transformers",,134,83,217,,0
BB,1,3-Ph 200 KVA Distribution Transformer,No.,134,83,217,346695,13867.8
BB,2,8 mtrs long 200 kg PSC Pole,No.,0,0,0,3500,262.5
BB,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,1340,830,2170,87,3.48
BB,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,134,83,217,13000.7,520.028
BB,5,Distribution box with MCCB for 3 ph 63 kVA DTs with CT operated energy meter,No.,134,83,217,23925,957
BB,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,134,83,217,5075,203
BB,7,11 kv lightning Arrester,Nos,402,249,651,507.5,20.3
BB,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,402,249,651,1305,52.2
BB,9,Nuts & Bolts,Kg,536,332,868,127.165,5.0866
BB,10,Supply for ACSR conductors,,0,0,0,0,0
BB,a,ACSR Dog Conductor,KM,2.68,1.66,4.34,82711.7,3308.468
BB,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,804,498,1302,181.25,7.25
BB,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,2144,1328,3472,435,17.4
BB,13,Insulators as per TS,,0,0,0,0,0
BB,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,0,0,0,398.75,15.95
BB,b,11 kV Pin insulator with Pin,No.,0,0,0,108.75,4.35
BB,c,LT Pin insulator with Pin,No.,0,0,0,17.4,0.696
BB,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,0,0,0,14.5,0.58
BB,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
BB,a,Stay wire 7/12 SWG,Set,0,0,0,507.5,20.3
BB,b,Stay Insulator,no.,0,0,0,21.75,0.87
BB,c,Stay Rod assembly,Set,0,0,0,725,29
BB,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,0,0,0,181.25,7.25
BB,15,Danger board (for both pole of new DSS),No.,0,0,0,116,4.64
BB,16,Anticlimbing device (for both pole of new DSS),No.,0,0,0,153.7,6.148
BB,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,4020,2490,6510,52.2,2.088
BB,18,Stone base plate,Nos,0,0,0,181.25,7.25
BC,BC,"Balance Work of Special Plan (BRGF) Phase-I-Augmentation of 11/0.433 KV, 63 KVA to 100 KVA (Using released Distribution Transformers from 100 to 200 KVA )",,98,33,131,,0
BC,1,3-Ph 100 KVA Distribution Transformer,No.,0,0,0,245113.45,9804.538
BC,2,8 mtrs long 200 kg PSC Pole,No.,0,0,0,3500,262.5
BC,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,0,0,0,87,3.48
BC,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 200 Amp,Set,98,33,131,13000.7,520.028
BC,5,Distribution box with MCCB for 3 ph 100 kVA DTs with CT operated energy meter,No.,98,33,131,23925,957
BC,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,98,33,131,5075,203
BC,7,11 kv lightning Arrester,Nos,294,99,393,507.5,20.3
BC,8,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",Nos,294,99,393,1305,52.2
BC,9,Nuts & Bolts,Kg,588,198,786,127.165,5.0866
BC,10,Supply for ACSR conductors,,0,0,0,0,0
BC,a,ACSR Dog Conductor,KM,1.96,0.66,2.62,82711.7,3308.468
BC,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,588,198,786,181.25,7.25
BC,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,1568,528,2096,435,17.4
BC,13,Insulators as per TS,,0,0,0,0,0
BC,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,0,0,0,398.75,15.95
BC,b,11 kV Pin insulator with Pin,No.,0,0,0,108.75,4.35
BC,c,LT Pin insulator with Pin,No.,0,0,0,17.4,0.696
BC,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,0,0,0,14.5,0.58
BC,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
BC,a,Stay wire 7/12 SWG,Set,0,0,0,507.5,20.3
BC,b,Stay Insulator,no.,0,0,0,21.75,0.87
BC,c,Stay Rod assembly,Set,0,0,0,725,29
BC,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,0,0,0,181.25,7.25
BC,15,Danger board (for both pole of new DSS),No.,0,0,0,116,4.64
BC,16,Anticlimbing device (for both pole of new DSS),No.,0,0,0,153.7,6.148
BC,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,2940,990,3930,52.2,2.088
BC,18,Stone base plate,Nos,0,0,0,181.25,7.25
BD,BD,"Balance Work of Special Plan (BRGF) Phase-I- R&M of existing 11/0.433 KV DSS including renovation and upgradation of AB switches, Earthing, LT Bus-Bar and LT fuse System etc complete",,1571,1000,2571,,0
BD,1,3-Ph-200 KVA Distribution Transformer,No.,0,0,0,346695,13867.8
BD,2,9 mtrs long 400 kg PSC Pole,No.,0,0,0,3500,262.5
BD,3,"Supply & fabrication of channel for supporting transformers/ AB switch, channel for supporting DO fuse & Las channel support for transformer belting, belting support, clamps for AB switch base channel 2 pairs, angle for LT distribution bus for DTs",Kg,94260,60000,154260,87,3.48
BD,4,AB Switch 3 Pin type double break ( horizontal) 11 kV 3 pole 400 Amp,Set,1571,1000,2571,13000.7,520.028
BD,5,Distribution box with MCCB for 3 ph 200 kVA DTs with CT operated energy meter,No.,0,0,0,23925,957
BD,6,HG Fuse sets 11 kV with insulators etc for 3 ph transformers - 200 Amp,Set,0,0,0,5075,203
BD,7,11 kv lightning Arrester,Nos,4713,3000,7713,507.5,20.3
BD,8,Earthing for DTs ( treated),Nos,4713,3000,7713,1305,52.2
BD,9,Nuts & Bolts,Kg,7855,5000,12855,127.165,5.0866
BD,10,Supply for ACSR conductors,,0,0,0,0,0
BD,a,ACSR Dog Conductor,KM,31.42,20,51.42,82711.7,3308.468
BD,11,PG Clamps suitable for connection to ACSR Rabbit conductor,No.,6284,4000,10284,181.25,7.25
BD,12,Crimping type heavy duty aluminium lugs suitable for connection in rewirable kit kat fuse & connecting ACSR conductor/ PVC cables,LS,6284,4000,10284,435,17.4
BD,13,Insulators as per TS,,0,0,0,0,0
BD,a,11 kV Disc insulator 45 KN (Single Disc) with hardware fittings suitable for ACSR Dog/ Rabbit/ Weasel conductor,Set,0,0,0,398.75,15.95
BD,b,11 kV Pin insulator with Pin,No.,4713,3000,7713,108.75,4.35
BD,c,LT Pin insulator with Pin,No.,0,0,0,17.4,0.696
BD,d,LT Shackle insulator assembly complete as per specification (Type- II),No.,25136,16000,41136,14.5,0.58
BD,14,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
BD,a,Stay wire 7/12 SWG,Set,0,0,0,507.5,20.3
BD,b,Stay Insulator,no.,0,0,0,21.75,0.87
BD,c,Stay Rod assembly,Set,0,0,0,725,29
BD,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,0,0,0,181.25,7.25
BD,15,Danger board (for both pole of new DSS),No.,0,0,0,116,4.64
BD,16,Anticlimbing device (for both pole of new DSS),No.,0,0,0,153.7,6.148
BD,17,1.1 kV grade 3&1/2 core 120 sqmm size PVC insulated PVC sheathed aluminium conductor cable,Meter,31420,20000,51420,52.2,2.088
BD,18,Stone base plate,Nos,0,0,0,181.25,7.25
BE,BE,"Balance Work of BRGF Phase-I-Construction of 3 Phase 4 Wire LT Line on 8M, 200 Kg PSC with ACSR Rabbit Conductor in Horizontal configuration",,71.3,47.5,118.8,,0
BE,1,Route Survey,Kms,71.3,47.5,118.8,0,0
BE,2,"PSC Pole, 200 KG, 8 M mtr. Long",No,1426,950,2376,3500,262.5
BE,3,Shackle Insulator & straps ( Type- II),Set,1711.2,1140,2851.2,65.25,2.61
BE,4,ACSR Rabbit equivalent,Kms,293.756,195.7,489.456,28727.3,1149.092
BE,5,LT Pin insulator with Pin,No.,4563.2,3040,7603.2,17.4,0.696
BE,6,"Supply & fabrication of LT Brackett made of 75x40x6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",Kg,17825,11875,29700,95.7,3.828
BE,7,Stay set complete with GI stay wire preformed guy and stay base plate,Set,427.8,285,712.8,1724.05,68.962
BE,8,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,713,475,1188,150.8,6.032
BE,9,Nuts & Bolts with plain and spring washer,Kg,1782.5,1187.5,2970,127.165,5.0866
BE,10,Aluminium wire binding,Kg,35.65,23.75,59.4,210.25,8.41
BE,11,Preformed Jointing Sleeve,Nos.,0,0,0,130.5,5.22
BE,12,LT PVC Spacers,No,4278,2850,7128,65.25,2.61
BE,13,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,3.2085,2.1375,5.346,71814.15,2872.566
BE,14,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,855.6,570,1425.6,181.25,7.25
BE,15,Stone base plate,Nos,1426,950,2376,181.25,7.25
BF,BF,"Balance Work of BRGF Phase-I-Construction of 3 Phase 4 Wire LT Line on 9M, 400 Kg PSC with ACSR DOG Conductor in Horizontal configuration",,17.83,11.8,29.63,,0
BF,1,Route Survey,Kms,17.83,11.8,29.63,0,0
BF,2,"PSC Pole, 400 KG, 9 M mtr. Long",No,356.6,236,592.6,3500,262.5
BF,3,Shackle Insulator & straps ( Type- II),Set,427.92,283.2,711.12,65.25,2.61
BF,4,ACSR Dog Conductor for Phase Lines,KM,55.0947,36.462,91.5567,82711.7,3308.468
BF,5,ACSR Rabbit Conductor for Netural Line,Kms,18.3649,12.154,30.5189,28727.3,1149.092
BF,6,LT Pin insulator with Pin,No.,1141.12,755.2,1896.32,17.4,0.696
BF,7,"Supply & fabrication of LT Brackett made of 75x40x6 mm MS Channel along with back clamp made of MS flat 50*6 mm ,Guard bracket made of MS angle 50*50*6 mm ,stay clamps & angle stay clamps and other fabricated materials",Kg,4457.5,2950,7407.5,95.7,3.828
BF,8,Stay set complete with GI stay wire preformed guy and stay base plate,Set,106.98,70.8,177.78,1724.05,68.962
BF,9,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Set,178.3,118,296.3,150.8,6.032
BF,10,Nuts & Bolts with plain and spring washer,Kg,445.75,295,740.75,127.165,5.0866
BF,11,Aluminium wire binding,Kg,8.915,5.9,14.815,210.25,8.41
BF,12,Preformed Jointing Sleeve,Nos.,0,0,0,130.5,5.22
BF,13,LT PVC Spacers,No,1069.8,708,1777.8,65.25,2.61
BF,14,8 SWG 4 mm GI wire for Guarding & Lacing @ 1.1 Km per guard wire (101 Kg/Km of 8 SWG GI Wire),MT,0.80235,0.531,1.33335,71814.15,2872.566
BF,15,PG Clamps suitable for Rabbit/Weasel/Dog Conductors,Nos.,213.96,141.6,355.56,181.25,7.25
BF,16,Stone base plate,Nos,356.6,236,592.6,181.25,7.25
BG,BG,"Constructi:on of New 11kV Lines on 9M, 400 Kg PSC Pole with ACSR Dog conductor",,5.75,8,13.75,,0
BG,1,Route Survey,Km,5.75,8,13.75,0,0
BG,2,PSC Pole 9 Mtr. 400 Kg,No,126.5,176,302.5,3500,262.5
BG,3,Pin Insulator & Pin 11 KV as per TS,Set,362.25,504,866.25,108.75,4.35
BG,4,Disc Insulator & Hardware,Set,51.75,72,123.75,414.7,16.588
BG,5,ACSR Dog conductor,Km,17.7675,24.72,42.4875,82711.7,3308.468
BG,6,"Supply & Fabrication of Pole Top Bracket, V cross arm, Back clamp for V cross arm, DP Channel, DP channel clamp, DP Cross bracing, DP Bracing clamps",Kg,2300,3200,5500,95.7,3.828
BG,7,"Stay set complete along with guy insulator, stay clamp, guy grip, stay base plate, 7/12 SWG GI stay wire complete as per specification and drawing",,0,0,0,0,0
BG,a,Stay wire 7/12 SWG,Set,57.5,80,137.5,507.5,20.3
BG,b,Stay Insulator,no.,57.5,80,137.5,21.75,0.87
BG,c,Stay Rod assembly,Set,57.5,80,137.5,725,29
BG,d,Stone stay Plate/ Stay Base plate ( 150 x 150 x 6 mm),Set,57.5,80,137.5,181.25,7.25
BG,8,Earthing,,0,0,0,0,0
BG,a,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",No,92,128,220,152.25,6.09
BG,b,"Pipe type earthing including supply of all materials like 40mm dia, 3M long GI pipe charcoal & salt as required in all kind of soil all complete as per REC construction drawing J-2 & approved drawing & TS including excavation, refilling with salt & charcoal , fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge",No,11.5,16,27.5,1486.25,59.45
BG,9,Nuts & Bolts,Kg,126.5,176,302.5,127.165,5.0866
BG,10,Aluminium wire for binding,Kg,0.115,0.16,0.275,217.5,8.7
BG,11,Preformed Jointing Sleeve,Set,5.75,8,13.75,253.75,10.15
BG,12,"Sundaries (Tree Clearance, etc)",LS,5.75,8,13.75,5075,203
BG,13,Guarding and Lacing,,0,0,0,0,0
BG,a,GI Wire 7/16 SWG for Guarding as per REC Construction drawing standard A-1 at crossing,MT,0.345,0.48,0.825,71814.15,2872.566
BG,b,GI Wire (8 SWG) for Lacing as per REC Construction drawing Standard A-1 at crossing lacing,MT,0.23,0.32,0.55,71814.15,2872.566
BG,14,PG clamps suitable for following ACSR conductors (6 nos. per DP/cut point),No,34.5,48,82.5,181.25,7.25
BG,15,Sectionliser switch (400 Amp rating) ( 1 set per 5 Km),Set,1.15,1.6,2.75,21750,870
BG,16,Stone base plate,Nos,103.5,144,247.5,181.25,7.25
BH,BH,"Construction of New LT Line 8M, 200Kg PSC Pole using 3Cx95 Sqmm size ABC Cable",,89.13,59.4,148.53,,0
BH,1,Survey,Kms,89.13,59.4,148.53,0,0
BH,2,Aerial Bunched Cable (3Cx95+1X16+1x35 sq. mm. (Bare messenger) ),Kms,93.5865,62.37,155.9565,269700,10788
BH,3,"PSC Pole, 200 Kg, 8 Meters long",No,2139.12,1425.6,3564.72,3500,262.5
BH,4,Nuts & Bolts,Kg,891.3,594,1485.3,127.165,5.0866
BH,5,Stay set complete with GI stay wire preformed grip and Anchor plate as per TS,Set,891.3,594,1485.3,1724.05,68.962
BH,6,"Spiral type earthing as per REC construction drawing J-1 including supply of all materials like 8 SWG G.I. wire closely wound having 115 turns, 50mm dia & 450mm long coil (untreated without charcoal & salt) in all type of soil including excavation, refilling with earth, fixing of bolts, nuts, washers for connection with pole support/ metalic part all complete as per TS & direction of Engineer-in charge (individual pole earthing)",Nos,891.3,594,1485.3,152.25,6.09
BH,7,"Suspension Clamps assembly suitable for bare messanger (1 no suspension clamp with bracket, 1.5Mtr stainless steel strap, 2 No buckle) including service clamp for proper support of service cable with Pole, pole bracket for service clamp with 1.5 mtr. stainless steel strap, 2 nos. buckle, insulation peircing multiport connector, insulation peircing connector for networking/insulation peircing connector for branching,/ earthing , peircing earthing connector, pre insulated bimetallic termination lug for phase & neutral, mid span joint for phases, mid span joint for neutral massenger etc. complete in all respect to complete the system.",Nos,1426.08,950.4,2376.48,181.25,7.25
BH,8,Tension / Dead end clamps,Nos,980.43,653.4,1633.83,129.05,5.162
BH,9,AB Cable jointing Kit,Nos,178.26,118.8,297.06,580,23.2
BH,10,Stone base plate,Nos,2139.12,1425.6,3564.72,181.25,7.25
BI,BI,Guarding of 11 KV line,,28.2,42.5,70.7,,0
BI,1,Galvanoised Channel 75x75x6 mm,Kg,4371,6587.5,10958.5,87,3.48
BI,2,GI earth wire (8 SWG),MT,9.87,14.875,24.745,71814.15,2872.566
BI,3,GI Wire 7/16 SWG,MT,1.692,2.55,4.242,71814.15,2872.566
BI,4,Bolts & Nuts including hook and back clamp,Kg,282,425,707,127.165,5.0866
