Name of Drawing,Type of Line,Type of Pole,Type of Structure,Drawing No,No of Sets required,S.No,ERE Code,Description,Section,Length (mm),Qty/set (Nos),"Wt/Mtr
(Kg)",Total Wt in KG,Required Qty,Required Wt
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-025 Rev No 00,1,16,216,Dummy clamp B for Transformer side Base Channel,50x8,358,2,3.14,2.248,2,2.248
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-025 Rev No 00,1,17,217,Shackle insulator support channel(ISLC),75x40x6,475,2,5.7,5.415,2,5.415
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-025 Rev No 00,1,18,218,Shackle insulator Mounting channel(ISLC),75x40x6,1000,1,5.7,5.7,1,5.700
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-025 Rev No 00,1,19,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-025 Rev No 00,1,20,CIP,CI Packing piece,,,8,,0,8,0.000
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,1,201,Top Channel(ISLC),100x50x6,2720,2,7.9,42.976,2,42.976
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,2,202,AB Switch Mounting Channel(ISLC),75x40x6,2716,2,5.7,30.962,2,30.962
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,3,203,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,4,204,Channel support for operating handle(ISLC),75x40x6,462,1,5.7,2.633,1,2.633
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,5,205,HG Fuse Mounting channel(ISLC),75x40x6,2745,2,5.7,31.293,2,31.293
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,6,206,Transformer base channel(ISLC),100x50x6,2716,2,7.9,42.913,2,42.913
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,7,207,Transformer side base channel(ISLC),75x40x6,600,4,5.7,13.68,4,13.680
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,8,208,Angle support for operating pipe,50x50x6,395,1,4.5,1.778,1,1.778
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,9,209,Transformer Belting Angle,50x50x6,2726,2,4.5,24.534,2,24.534
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,10,210,Transformer side belting angle,50x50x6,630,2,4.5,5.670,2,5.670
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,11,211,LTDB Fixing Angle,50x50x6,2745,2,4.5,24.705,2,24.705
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,12,212,Stay Set Clamp,50x10,383,4,3.93,6.021,4,6.021
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,13,213,"Back clamp for Operating pipe angle,HG fuse,LTDB,Operating handle & Shackle insulator channel",50x8,482,10,3.14,15.135,10,15.135
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,14,214,Back clamp for Transformer side belting angle&LT Horizontal cross arm,50x8,497,3,3.14,4.682,3,4.682
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,15,215,Dummy clamp A for Transformer side Base Channel,50x8,410,2,3.14,2.575,2,2.575
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,16,216,Dummy clamp B for Transformer side Base Channel,50x8,358,2,3.14,2.248,2,2.248
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,17,219,LT Horizontal cross arm(ISLC),75x40x6,1110,1,5.7,6.327,1,6.327
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,18,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-026 Rev No 00,1,19,CIP,CI Packing piece,,,8,,0,8,0.000
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,1,201,Top Channel(ISLC),100x50x6,2720,2,7.9,42.976,2,42.976
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,2,202,AB Switch Mounting Channel(ISLC),75x40x6,2716,2,5.7,30.962,2,30.962
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,3,203,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,4,204,Channel support for operating handle(ISLC),75x40x6,462,1,5.7,2.633,1,2.633
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,5,205,HG Fuse Mounting channel(ISLC),75x40x6,2745,2,5.7,31.293,2,31.293
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,6,206,Transformer base channel(ISLC),100x50x6,2716,2,7.9,42.913,2,42.913
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,7,207,Transformer side base channel(ISLC),75x40x6,600,4,5.7,13.68,4,13.680
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,8,208,Angle support for operating pipe,50x50x6,395,1,4.5,1.778,1,1.778
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,9,209,Transformer Belting Angle,50x50x6,2726,2,4.5,24.534,2,24.534
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,10,210,Transformer side belting angle,50x50x6,630,2,4.5,5.670,2,5.670
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,11,211,LTDB Fixing Angle,50x50x6,2745,2,4.5,24.705,2,24.705
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,12,212,Stay Set Clamp,50x10,383,4,3.93,6.021,4,6.021
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,13,213,"Back clamp for Operating pipe angle,HG fuse,LTDB,Operating handle & Shackle insulator channel",50x8,482,10,3.14,15.135,10,15.135
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,14,214,Back clamp for Transformer side belting angle,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,15,215,Dummy clamp A for Transformer side Base Channel,50x8,410,2,3.14,2.575,2,2.575
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,16,216,Dummy clamp B for Transformer side Base Channel,50x8,358,2,3.14,2.248,2,2.248
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,17,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (Dead End Location) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-027 Rev No 00,1,18,CIP,CI Packing piece,,,8,,0,8,0.000
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,1,1R01,Pole Top Bracket,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,2,1R02,V-X Arm,75x40x6,1407,2,5.7,16.040,2,16.040
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,3,1R02-i,Weld Pices for V-X Arm,50x6,50,8,2.36,0.944,8,0.944
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,4,1R03,Back clamp for V-X Arm,50x10,496,2,3.93,3.899,2,3.899
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,5,202,AB Switch Mounting Channel(ISLC),75x40x6,2716,2,5.7,30.962,2,30.962
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,6,203,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,7,204,Channel support for operating handle(ISLC),75x40x6,462,1,5.7,2.633,1,2.633
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,8,205,HG Fuse Mounting channel(ISLC),75x40x6,2745,2,5.7,31.293,2,31.293
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,9,206,Transformer base channel(ISLC),100x50x6,2716,2,7.9,42.913,2,42.913
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,10,207,Transformer side base channel(ISLC),75x40x6,600,4,5.7,13.68,4,13.680
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,11,208,Angle support for operating pipe,50x50x6,395,1,4.5,1.778,1,1.778
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,12,209,Transformer Belting Angle,50x50x6,2726,2,4.5,24.534,2,24.534
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,13,210,Transformer side belting angle,50x50x6,630,2,4.5,5.670,2,5.670
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,14,211,LTDB Fixing Angle,50x50x6,2745,2,4.5,24.705,2,24.705
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,15,212,Stay Set Clamp,50x10,383,4,3.93,6.021,4,6.021
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,16,213,"Back clamp for Operating pipe angle,HG fuse,LTDB,Operating handle & Shackle insulator channel",50x8,482,14,3.14,21.189,14,21.189
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,17,214,Back clamp for Transformer side belting angle,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,18,215,Dummy clamp A for Transformer side Base Channel,50x8,410,2,3.14,2.575,2,2.575
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,19,216,Dummy clamp B for Transformer side Base Channel,50x8,358,2,3.14,2.248,2,2.248
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,20,217,Shackle insulator support channel(ISLC),75x40x6,475,2,5.7,5.415,2,5.415
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,21,218,Shackle insulator Mounting channel(ISLC),75x40x6,1000,1,5.7,5.7,1,5.700
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,22,219,LA Mounting Angle,50x50x6,2745,1,4.5,12.353,1,12.353
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,23,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Vertical,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-028 Rev No 00,1,24,CIP,CI Packing piece,,,10,,0,10,0.000
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,1,1R01,Pole Top Bracket,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,2,1R02,V-X Arm,75x40x6,1407,2,5.7,16.040,2,16.040
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,3,1R02-i,Welding Piece-1 for V-X Arm,50x6,50,8,2.36,0.944,8,0.944
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,4,1R03,Back clamp for V-X Arm,50x10,496,2,3.93,3.899,2,3.899
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,5,202,AB Switch Mounting Channel(ISLC),75x40x6,2716,2,5.7,30.962,2,30.962
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,6,203,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,7,204,Channel support for operating handle(ISLC),75x40x6,462,1,5.7,2.633,1,2.633
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,8,205,HG Fuse Mounting channel(ISLC),75x40x6,2745,2,5.7,31.293,2,31.293
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,9,206,Transformer base channel(ISLC),100x50x6,2716,2,7.9,42.913,2,42.913
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,10,207,Transformer side base channel(ISLC),75x40x6,600,4,5.7,13.68,4,13.680
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,11,208,Angle support for operating pipe,50x50x6,395,1,4.5,1.778,1,1.778
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,12,209,Transformer Belting Angle,50x50x6,2726,2,4.5,24.534,2,24.534
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,13,210,Transformer side belting angle,50x50x6,630,2,4.5,5.670,2,5.670
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,14,211,LTDB Fixing Angle,50x50x6,2745,2,4.5,24.705,2,24.705
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,15,212,Stay Set Clamp,50x10,383,4,3.93,6.021,4,6.021
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,16,213,"Back clamp for Operating pipe angle,HG fuse,LTDB,Operating handle & Shackle insulator channel",50x8,482,12,3.14,18.162,12,18.162
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,17,214,Back clamp for Transformer side belting angle,50x8,497,3,3.14,4.682,3,4.682
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,18,215,Dummy clamp A for Transformer side Base Channel,50x8,410,2,3.14,2.575,2,2.575
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,19,216,Dummy clamp B for Transformer side Base Channel,50x8,358,2,3.14,2.248,2,2.248
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,20,219,LT Horizontal cross arm(ISLC),75x40x6,1110,1,5.7,6.327,1,6.327
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,21,220,LA Mounting Angle,50x50x6,2745,1,4.5,12.353,1,12.353
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,22,EP,Earthing Piece,50x50x6,50,2,4.5,0.45,2,0.450
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT Horizontal,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-029 Rev No 00,1,23,CIP,CI Packing piece,,,10,,0,10,0.000
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,1,1R01,Pole Top Bracket,50x8,497,2,3.14,3.121,2,3.121
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,2,1R02,V-X Arm,75x40x6,1407,2,5.7,16.040,2,16.040
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,3,1R02-i,Weld Piece for V-X Arm,50x6,50,8,2.36,0.944,8,0.944
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,4,1R03,Back clamp for V-X Arm,50x10,496,2,3.93,3.899,2,3.899
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,5,202,AB Switch Mounting Channel(ISLC),75x40x6,2716,2,5.7,30.962,2,30.962
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,6,203,AB Switch Supporting channel (ISLC),75x40x6,510,4,5.7,11.628,4,11.628
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,7,204,Channel support for operating handle(ISLC),75x40x6,462,1,5.7,2.633,1,2.633
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,8,205,HG Fuse Mounting channel(ISLC),75x40x6,2745,2,5.7,31.293,2,31.293
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,9,206,Transformer base channel(ISLC),100x50x6,2716,2,7.9,42.913,2,42.913
11/0.433kV 200kV DTR arrangment on DP 13M(52Kg) Rail Pole (In Line Location with V cross arm) with LT AB Cable,DTR,Rail Pole,DP,SSEL-SBPDCL-DTR-030 Rev No 00,1,10,207,Transformer side base channel(ISLC),75x40x6,600,4,5.7,13.68,4,13.680
